COMPOUND_ID,pathogen_model,priority_tier,source_library,product_linkage_type,clean_smiles,similarity_to_training,ensemble_prediction,decision_scenario,reliability_status,MW,LogP,TPSA,SA_score
CMPD_036,SA,1,SA,urea,CC(=O)NC[CH]CN(C(=O)N1C[C@@H]2C(C#N)[C@@H]2C1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3846153846153846,0.9462375283241272,A,HIGH,462.5050000000002,3.164140000000001,120.52,4.500419460982382
CMPD_095,SA,1,SA,urea,CC(=O)NC[CH]CN(C(=O)NC(=N)Nc1nccc(-c2scnc2C)n1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3085106382978723,0.9457441926002502,A,HIGH,588.649,4.321150000000002,180.07,3.8086013012375775
CMPD_064,SA,1,SA,urea,CC(=O)NC[CH]CN(C(=O)N1CCNN(C(=O)CO)CC1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3725490196078431,0.939260470867157,A,HIGH,513.5500000000003,1.10386,149.29999999999998,3.645080738495724
CMPD_438,SA,1,SA_CA,amide,CC(C)C[C@H](NC(=O)CS)C(=O)N(C[C@H]1CN(c2ccc(N3CCOCC3)cc2)CO1)Sc1ccccc1,0.3258426966292135,0.935480296611786,A,HIGH,558.7700000000004,3.6825000000000014,74.35000000000001,3.849448388735784
CMPD_220,SA,1,CA,amide,O=CN[C@@H](Cn1ccnc1)C(=O)N(NC=O)c1cccc(Cl)c1,0.3970588235294117,0.9327825665473938,A,HIGH,335.7510000000001,0.3452999999999995,96.33,3.6430837906387534
CMPD_241,SA,1,CA,amide,COc1ccc(N(NC=O)C(=O)[C@H](Cn2ccnc2)NC=O)cc1,0.3768115942028985,0.9302680253982544,A,HIGH,331.332,-0.2994999999999999,105.56,3.5089089518324545
CMPD_092,SA,1,SA,urea,CC(=O)NC[CH]CN(C(=O)NC(=N)N/N=C/CCNS(=O)(=O)c1ccccc1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3063063063063063,0.928008234500885,A,HIGH,623.6910000000001,2.9311300000000005,199.93,3.695695286184512
CMPD_051,SA,1,SA,urea,CC(=O)NC[CH]CN(C(=O)Nc1ccc2c(c1)CCC2)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3469387755102041,0.9273076891899108,A,HIGH,487.5550000000003,5.063560000000004,105.52,3.146548059689546
CMPD_240,SA,1,CA,amide,COc1cccc(N(NC=O)C(=O)[C@H](Cn2ccnc2)NC=O)c1,0.3648648648648648,0.9217669367790222,A,HIGH,331.332,-0.2994999999999999,105.56,3.581800807036074
CMPD_070,SA,1,SA,urea,CC(=O)NC[CH]CN(C(=O)Nc1c[nH]c2ccccc12)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3636363636363636,0.9167716264724732,A,HIGH,486.52700000000016,5.056160000000003,121.31,3.206227697698597
